epoch,accuracy,loss,val_accuracy,val_loss
0,0.36839193,1.3337355013405752,0.4610951,1.2666078441768283
1,0.6462773,1.0035733107282552,0.6368876,0.9048308204505217
2,0.7915859,0.5866207171766639,0.7060519,0.7568539659296745
3,0.84140605,0.4194480197072656,0.69740635,0.7456194366776634
4,0.8773872,0.335122425174106,0.7204611,0.789105323961901
5,0.897592,0.27702639892660214,0.6829971,0.8286418131517745
6,0.92139494,0.22570734081953278,0.685879,0.8650993658417584
7,0.93800163,0.1880230074472583,0.6801153,0.9393960625706214
8,0.9490728,0.1563393943467498,0.6887608,0.9883490302720743
9,0.9606975,0.1380223732615916,0.6801153,1.0463108501104526
10,0.9615278,0.12378625487179232,0.6801153,1.0963726778882381
11,0.9665098,0.11474812573140063,0.69452447,1.15639368670131
12,0.9681705,0.10393382794381739,0.6801153,1.1331609493545565
13,0.9706615,0.09616400664396442,0.6829971,1.214387359467982
14,0.97259897,0.08890404129478696,0.6685879,1.265466596791655
15,0.97204536,0.0858175084922837,0.6599424,1.3107353070970915
16,0.9745364,0.08798592701892492,0.6743516,1.3233244996249505
17,0.9728757,0.08210357888572077,0.6599424,1.383589674313405
18,0.97342926,0.08100089120093208,0.6743516,1.380561425294244
19,0.97592026,0.07479328068384142,0.67146975,1.3630113289060786
20,0.97619706,0.07457764383865309,0.67146975,1.3965631039754114
21,0.9756435,0.06615791023767394,0.66570604,1.484553792291141
22,0.9770274,0.06306037722723061,0.6685879,1.4542655065355108
23,0.9767506,0.06412355181055569,0.67146975,1.4895426917831904
24,0.9784113,0.06224640783818514,0.6599424,1.531774523965907
